Iteration,Time,Fitness,Best Iteration,Best Fitness
1316,20560.000000,1.000000,459,1.000000
1324,20560.000000,1.000000,459,1.000000
1332,20560.000000,1.000000,459,1.000000
1339,20560.000000,1.000000,459,1.000000
1347,20560.000000,1.000000,459,1.000000
1354,20560.000000,1.000000,459,1.000000
1362,20560.000000,1.000000,459,1.000000
1371,20560.000000,1.000000,459,1.000000
1378,20560.000000,1.000000,459,1.000000
1387,20560.000000,1.000000,459,1.000000
1395,20560.000000,1.000000,459,1.000000
1401,20560.000000,1.000000,459,1.000000
1407,20560.000000,1.000000,459,1.000000
1415,20560.000000,1.000000,459,1.000000
1422,20560.000000,1.000000,459,1.000000
1431,20560.000000,1.000000,459,1.000000
1438,20560.000000,1.000000,459,1.000000
1446,20560.000000,1.000000,459,1.000000
1454,20560.000000,1.000000,459,1.000000
1463,20560.000000,1.000000,459,1.000000
1469,20560.000000,1.000000,459,1.000000
1476,20560.000000,1.000000,459,1.000000
1485,20560.000000,1.000000,459,1.000000
1492,20560.000000,1.000000,459,1.000000
1500,20560.000000,1.000000,459,1.000000
1508,20560.000000,1.000000,459,1.000000
1515,20560.000000,1.000000,459,1.000000
1523,20560.000000,1.000000,459,1.000000
1531,20560.000000,1.000000,459,1.000000
1539,20560.000000,1.000000,459,1.000000
1547,20560.000000,1.000000,459,1.000000
1554,20560.000000,1.000000,459,1.000000
1563,20560.000000,1.000000,459,1.000000
1572,20560.000000,1.000000,459,1.000000
1580,20560.000000,1.000000,459,1.000000
1587,20560.000000,1.000000,459,1.000000
1595,20560.000000,1.000000,459,1.000000
1604,20560.000000,1.000000,459,1.000000
1610,20560.000000,1.000000,459,1.000000
1618,20560.000000,1.000000,459,1.000000
1625,20560.000000,1.000000,459,1.000000
1634,20560.000000,1.000000,459,1.000000
1642,20560.000000,1.000000,459,1.000000
1650,20560.000000,1.000000,459,1.000000
1658,20560.000000,1.000000,459,1.000000
1666,20560.000000,1.000000,459,1.000000
1673,20560.000000,1.000000,459,1.000000
1682,20560.000000,1.000000,459,1.000000
1690,20560.000000,1.000000,459,1.000000
1699,20560.000000,1.000000,459,1.000000
1707,20560.000000,1.000000,459,1.000000
1715,20560.000000,1.000000,459,1.000000
1721,20560.000000,1.000000,459,1.000000
1729,20560.000000,1.000000,459,1.000000
1737,20560.000000,1.000000,459,1.000000
1744,20560.000000,1.000000,459,1.000000
1752,20560.000000,1.000000,459,1.000000
1760,20560.000000,1.000000,459,1.000000
1768,20560.000000,1.000000,459,1.000000
1776,20560.000000,1.000000,459,1.000000
1785,20560.000000,1.000000,459,1.000000
1794,20560.000000,1.000000,459,1.000000
1801,20560.000000,1.000000,459,1.000000
1808,20560.000000,1.000000,459,1.000000
1816,20560.000000,1.000000,459,1.000000
1825,20560.000000,1.000000,459,1.000000
1831,20560.000000,1.000000,459,1.000000
1839,20560.000000,1.000000,459,1.000000
1845,20560.000000,1.000000,459,1.000000
1860,20560.000000,1.000000,459,1.000000
1868,20560.000000,1.000000,459,1.000000
1874,20560.000000,1.000000,459,1.000000
1882,20560.000000,1.000000,459,1.000000
1889,20560.000000,1.000000,459,1.000000
1896,20560.000000,1.000000,459,1.000000
