Batch Index;Problem;Algorithm;Problem Size;Fitness;Best Iteration;Runtime (ms)
0;BitStringOneMax;BitStringACO;100;55.000000;0;11
1;BitStringOneMax;BitStringACO;100;48.000000;0;12
2;BitStringOneMax;BitStringACO;100;53.000000;0;14
Average; ; ;100;52.000000;0;12
