Batch Index;Problem;Algorithm;Problem Size;Fitness;Best Iteration;Runtime (ms)
0;BitStringOneMax;BitStringGeneric;1000;794.000000;997;2178
1;BitStringOneMax;BitStringGeneric;1000;792.000000;996;2068
2;BitStringOneMax;BitStringGeneric;1000;811.000000;999;2042
Average; ; ;1000;799.000000;997;2096
