Iteration,Time,Fitness,Best Iteration,Best Fitness
0,218.000000,5.000000,0,5.000000
10,218.000000,8.000000,9,8.000000
18,218.000000,10.000000,15,10.000000
27,218.000000,10.000000,15,10.000000
34,218.000000,10.000000,15,10.000000
39,218.000000,10.000000,15,10.000000
48,218.000000,10.000000,15,10.000000
54,218.000000,10.000000,15,10.000000
62,218.000000,10.000000,15,10.000000
70,218.000000,10.000000,15,10.000000
78,218.000000,10.000000,15,10.000000
86,218.000000,10.000000,15,10.000000
94,218.000000,10.000000,15,10.000000
